city,street,house,entrance,floor,flat
п. Майкоп,бул. Черноморский,30,9,,
к. Красноуральск,ул. Энергетическая,64,4,6,170
с. Щелково,алл. Запрудная,19,7,25,1480
ст. Тырныауз,бул. Магистральный,99,3,4,87
д. Наро-Фоминск,пер. Индустриальный,24,8,8,525
г. Жуковский,пер. Ангарский,87,9,16,1499
п. Шумиха,ул. Чкалова,20,3,28,815
клх Меренга,ул. Саратовская,84,3,30,692
п. Ханты-Мансийск,бул. Придорожный,31,1,26,303
п. Киров (Вятка),ш. Физкультурное,65,3,17,612
к. Грозный,наб. Сахалинская,28,7,,
д. Бугульма,пр. Казачий,30,3,8,216
ст. Мичуринск,ш. Нижнее,99,8,18,1547
с. Тымовское,наб. Энгельса,60,8,10,894
клх Каменномостский,алл. Пушкинская,63,7,14,968
ст. Шелехов,пр. Толстого,59,9,27,1533
с. Амдерма,ш. Дальневосточное,45,4,10,475
с. Армавир,ш. Павлика Морозова,57,7,5,365
ст. Сунтар,алл. Западная,63,7,13,733
д. Ведено,бул. Гражданский,95,5,19,844
к. Ангарск,наб. Степная,96,1,,
г. Торжок,пер. Хвойный,1,5,6,165
ст. Старый Оскол,ул. З.Космодемьянской,19,3,8,304
д. Далматово,алл. Фурманова,63,5,16,556
к. Пышма,ул. Тургенева,8,6,24,1266
ст. Белоярский,алл. Гастелло,92,9,20,1090
клх Ямбург,пр. Пограничный,63,3,11,352
д. Дербент,ул. Сурикова,90,9,8,696
ст. Горячий Ключ,ул. Сахалинская,99,6,19,874
д. Тулпан,наб. Первомайская,35,5,4,176
д. Челюскин,пер. Весенний,74,1,,
клх Томпа,пер. Микрорайон,2,7,4,224
д. Петушки,бул. Коллективный,31,9,29,2830
г. Валаам,алл. Серова,27,6,1,52
клх Магадан,пер. Ушакова,64,7,16,1278
клх Кинешма,ул. Горького,94,3,14,426
к. Урюпинск,пер. Троицкий,1,3,24,557
к. Нижний Тагил,пер. Щорса,84,9,1,62
д. Курильск,ш. Блюхера,91,7,31,1371
п. Озеры,бул. Шишкина,93,8,30,1347
к. Адыгейск,ул. Комарова,78,3,,
клх Волхов,бул. Профсоюзный,21,5,22,725
п. Мураши,алл. Чкалова,5,5,3,97
клх Ногинск (Моск.),бул. Полтавский,44,7,22,1595
д. Яшалта,алл. Новоселов,40,1,21,105
п. Красноуральск,пр. Мирный,93,2,20,389
клх Усть-Ордынский,наб. Медицинская,96,3,19,711
д. Андреаполь,бул. Лунный,14,3,27,575
к. Чита,ул. Дзержинского,39,6,21,1080
с. Яр-Сале,пр. Победа,76,9,19,1557
ст. Кондопога,ул. 40 лет Октября,19,8,,
д. Чегем,пр. Поперечный,11,8,26,1947
к. Тырныауз,бул. О.Кошевого,20,6,3,135
к. Буйнакск,бул. Промышленный,5,1,18,141
с. Набережные Челны,наб. Ярославская,93,4,6,168
ст. Чикола,пр. Маркса Карла,19,3,15,401
к. Нефтегорск (Самар.),наб. Театральная,35,8,7,557
с. Зарайск,наб. Буденного,42,6,31,1239
к. Данков,пер. Некрасова,80,8,16,914
г. Астрахань,бул. Папанина,97,9,22,1404
д. Александров Гай,наб. Литейная,84,9,,
ст. Моздок,пер. Панфилова,70,4,16,767
ст. Александров,алл. Подстанция,72,3,2,70
к. Радужный,бул. Высоцкого,76,8,22,1894
п. Бавлы,ш. Краснознаменное,83,1,19,117
д. Шатой,ул. Шолохова,88,5,30,1716
п. Андреаполь,пер. Николаева,15,5,6,277
с. Бодайбо,бул. Прудный,21,9,1,79
п. Бронницы,пр. Базарный,31,7,24,1737
ст. Усть-Илимск,пр. Р.Люксембург,11,7,29,1092
с. Кемерово,пер. Пожарского,24,2,,
к. Шатой,ш. Восточное,10,9,14,841
к. Кандалакша,алл. Чайковского,30,2,16,296
клх Тикси,бул. Крылова,65,9,30,1463
ст. Батайск,бул. Культуры,27,2,3,51
с. Хатанга,пер. Южный,79,7,11,858
г. Хоста,ул. Фадеева,89,1,9,148
п. Игнашино,наб. Санаторная,86,5,5,272
г. Невьянск,бул. Коммунальный,85,3,13,298
г. Кыштым,алл. Олега Кошевого,80,4,20,958
п. Новочеркасск,алл. Березовая,49,8,,
к. Цимлянск,пр. Фабричный,85,4,5,126
п. Колпашево,бул. Черемуховый,22,8,14,706
ст. Псков,ш. Бажова,80,6,19,1307
п. Верещагино (Перм.),наб. Мира,70,8,12,662
ст. Троицк (Моск.),ул. Славянская,49,3,26,785
ст. Магас,бул. Кооперативный,93,1,30,172
г. Токма,ш. Рылеева,28,6,18,877
п. Зарайск,пр. Курчатова,45,1,20,363
ст. Валдай,ш. Ивановское,30,1,7,52
к. Архангельск,пр. Таманский,32,9,,
д. Шатура,ул. Энтузиастов,4,6,28,1229
д. Пятигорск,бул. Студенческий,67,3,21,777
г. Волгодонск,наб. Садовая,17,5,8,385
д. Усть-Камчатск,ш. Кольцова,21,4,5,184
к. Оренбург,ш. Республиканское,26,7,14,741
д. Балашов,алл. Пролетарская,92,7,17,798
ст. Шатура,ул. Аэродромная,11,6,22,1260
с. Нарьян-Мар,пер. Западный,11,9,30,2835
д. Алдан,ул. Свердлова,64,7,16,955
